iter	Passed	Remaining
0	0	98
1	1	92
2	2	92
3	5	130
4	7	141
5	8	132
6	9	127
7	10	121
8	12	121
9	13	121
10	14	118
11	15	113
12	16	110
13	17	106
14	18	103
15	19	103
16	20	101
17	21	100
18	23	98
19	24	96
20	25	96
21	27	96
22	40	136
23	42	133
24	43	130
25	44	127
26	46	124
27	47	121
28	48	118
29	53	125
30	55	124
31	60	128
32	64	131
33	66	129
34	68	126
35	69	123
36	70	120
37	72	117
38	73	114
39	74	112
40	76	109
41	76	106
42	79	104
43	80	102
44	86	105
45	89	104
46	90	102
47	91	99
48	92	96
49	94	94
50	96	92
51	97	89
52	101	89
53	102	87
54	102	84
55	103	81
56	104	78
57	105	76
58	106	74
59	107	71
60	109	69
61	110	67
62	111	65
63	115	64
64	117	63
65	121	62
66	126	62
67	127	59
68	128	57
69	129	55
70	129	53
71	130	50
72	131	48
73	132	46
74	133	44
75	134	42
76	135	40
77	136	38
78	137	36
79	138	34
80	139	32
81	140	30
82	141	29
83	142	27
84	143	25
85	144	23
86	145	21
87	147	20
88	148	18
89	149	16
90	150	14
91	152	13
92	153	11
93	154	9
94	155	8
95	156	6
96	157	4
97	158	3
98	159	1
99	160	0
